Flop,Hand,Weight IP,IP Equity
Js Jh 5s,KhQh,0.825,30.49
Js Jh 5s,AhKc,0.487,45.76
Js Jh 5s,AhAc,0.120,81.86
Js Jh 5s,AhKd,0.487,45.76
Js Jh 5s,AhAd,0.120,81.86
Js Jh 5s,Ah4h,0.180,34.54
Js Jh 5s,Ah5h,0.515,54.38
Js Jh 5s,Ah8h,0.090,35.85
Js Jh 5s,Ah9h,0.104,36.76
Js Jh 5s,AhTh,0.780,38.43
Js Jh 5s,AhQh,0.930,41.44
Js Jh 5s,AhKh,0.425,48.45
Js Jh 5s,AhKs,0.487,49.54
Js Jh 5s,2s2c,0.056,38.10
Js Jh 5s,2s2d,0.056,38.10
Js Jh 5s,2s2h,0.056,38.12
Js Jh 5s,3s3c,0.138,38.65
Js Jh 5s,3s3d,0.138,38.65
Js Jh 5s,3s3h,0.138,38.67
Js Jh 5s,4s4c,0.163,39.24
Js Jh 5s,4s4d,0.163,39.24
Js Jh 5s,4s4h,0.163,39.27
Js Jh 5s,6s6c,0.330,50.22
Js Jh 5s,6s6d,0.330,50.22
Js Jh 5s,6s6h,0.330,50.30
Js Jh 5s,7s7c,0.345,51.24
Js Jh 5s,7s7d,0.345,51.24
Js Jh 5s,7s7h,0.345,51.31
Js Jh 5s,7s6s,0.165,43.79
Js Jh 5s,8s8c,0.385,52.37
Js Jh 5s,8s8d,0.385,52.37
Js Jh 5s,8s8h,0.385,52.42
Js Jh 5s,8s7s,0.180,44.48
Js Jh 5s,9s9c,0.420,53.82
Js Jh 5s,9s9d,0.420,53.82
Js Jh 5s,9s9h,0.420,53.84
Js Jh 5s,9s8s,0.144,45.02
Js Jh 5s,TsTc,0.440,55.30
Js Jh 5s,TsTd,0.440,55.30
Js Jh 5s,TsTh,0.440,55.10
Js Jh 5s,Ts9s,0.225,45.55
Js Jh 5s,QsQc,0.870,60.81
Js Jh 5s,QsQd,0.870,60.81
Js Jh 5s,QsQh,0.870,60.31
Js Jh 5s,QsTs,0.050,47.48
Js Jh 5s,KsKc,0.442,71.01
Js Jh 5s,KsKd,0.442,71.01
Js Jh 5s,KsKh,0.442,71.33
Js Jh 5s,KsTs,0.050,50.25
Js Jh 5s,KsQs,0.825,52.59
Js Jh 5s,AsKc,0.487,49.93
Js Jh 5s,AsAc,0.120,85.03
Js Jh 5s,AsKd,0.487,49.93
Js Jh 5s,AsAd,0.120,85.03
Js Jh 5s,AsKh,0.487,50.26
Js Jh 5s,AsAh,0.120,84.89
Js Jh 5s,As4s,0.180,55.91
Js Jh 5s,As8s,0.090,57.09
Js Jh 5s,As9s,0.104,57.70
Js Jh 5s,AsTs,0.780,58.84
Js Jh 5s,AsQs,0.930,61.26
Js Jh 5s,AsKs,0.425,66.39
Js Th 3h,6c5c,0.095,14.42
Js Th 3h,7c6c,0.165,15.54
Js Th 3h,8c7c,0.180,26.14
Js Th 3h,9c8c,0.144,36.67
Js Th 3h,Tc9c,0.225,48.77
Js Th 3h,JcTc,0.180,76.68
Js Th 3h,QcTc,0.050,51.88
Js Th 3h,QcJc,0.155,56.43
Js Th 3h,KcTc,0.050,52.31
Js Th 3h,KcJc,0.565,58.05
Js Th 3h,KcQc,0.825,42.37
Js Th 3h,Ac4c,0.180,26.78
Js Th 3h,Ac5c,0.515,26.96
Js Th 3h,Ac8c,0.090,29.32
Js Th 3h,Ac9c,0.104,31.05
Js Th 3h,AcTc,0.780,53.17
Js Th 3h,AcJc,0.775,58.71
Js Th 3h,AcQc,0.930,41.31
Js Th 3h,AcKc,0.425,48.04
Js Th 3h,AcKd,0.487,48.02
Js Th 3h,AcKh,0.487,51.30
Js Th 3h,AcKs,0.487,48.27
Js Th 3h,2d2c,0.056,34.64
Js Th 3h,3d3c,0.138,85.33
Js Th 3h,4d4c,0.163,36.38
Js Th 3h,5d5c,0.130,36.34
Js Th 3h,6d6c,0.330,37.69
Js Th 3h,6d5d,0.095,14.42
Js Th 3h,7d7c,0.345,39.39
Js Th 3h,7d6d,0.165,15.54
Js Th 3h,8d8c,0.385,40.79
Js Th 3h,8d7d,0.180,26.14
Js Th 3h,9d9c,0.420,43.55
Js Th 3h,9d8d,0.144,36.67
Js Th 3h,TdTc,0.440,85.26
Js Th 3h,Td9d,0.225,48.77
Js Th 3h,JdJc,0.635,86.07
Js Th 3h,JdTd,0.180,76.68
Js Th 3h,QdQc,0.870,58.65
Js Th 3h,QdTd,0.050,51.88
Js Th 3h,QdJd,0.155,56.43
Js Th 3h,KdKc,0.442,66.31
Js Th 3h,KdTd,0.050,52.31
Js Th 3h,KdJd,0.565,58.05
Js Th 3h,KdQd,0.825,42.37
Js Th 3h,AdKc,0.487,48.02
Js Th 3h,AdAc,0.120,77.71
Js Th 3h,Ad4d,0.180,26.78
Js Th 3h,Ad5d,0.515,26.96
Js Th 3h,Ad8d,0.090,29.32
Js Th 3h,Ad9d,0.104,31.05
Js Th 3h,AdTd,0.780,53.17
Js Th 3h,AdJd,0.775,58.71
Js Th 3h,AdQd,0.930,41.31
Js Th 3h,AdKd,0.425,48.04
Js Th 3h,AdKh,0.487,51.30
Js Th 3h,AdKs,0.487,48.27
Js Th 3h,2h2c,0.056,37.31
Js Th 3h,2h2d,0.056,37.31
Js Th 3h,4h4c,0.163,39.20
Js Th 3h,4h4d,0.163,39.20
Js Th 3h,5h5c,0.130,39.37
Js Th 3h,5h5d,0.130,39.37
Js Th 3h,6h6c,0.330,40.66
Js Th 3h,6h6d,0.330,40.66
Js Th 3h,6h5h,0.095,42.99
Js Th 3h,7h7c,0.345,42.23
Js Th 3h,7h7d,0.345,42.23
Js Th 3h,7h6h,0.165,43.95
Js Th 3h,8h8c,0.385,43.46
Js Th 3h,8h8d,0.385,43.46
Js Th 3h,8h7h,0.180,50.83
Js Th 3h,9h9c,0.420,45.63
Js Th 3h,9h9d,0.420,45.63
Js Th 3h,9h8h,0.144,57.37
Js Th 3h,JhJc,0.635,87.26
Js Th 3h,JhJd,0.635,87.26
Js Th 3h,QhQc,0.870,61.34
Js Th 3h,QhQd,0.870,61.34
Js Th 3h,QhJh,0.155,72.49
Js Th 3h,KhKc,0.442,69.63
Js Th 3h,KhKd,0.442,69.63
Js Th 3h,KhJh,0.565,74.98
Js Th 3h,KhQh,0.825,63.40
Js Th 3h,AhKc,0.487,52.30
Js Th 3h,AhAc,0.120,81.70
Js Th 3h,AhKd,0.487,52.30
Js Th 3h,AhAd,0.120,81.70
Js Th 3h,Ah4h,0.180,54.81
Js Th 3h,Ah5h,0.515,54.97
Js Th 3h,Ah8h,0.090,56.48
Js Th 3h,Ah9h,0.104,57.25
Js Th 3h,AhJh,0.775,76.60
Js Th 3h,AhQh,0.930,64.11
Js Th 3h,AhKh,0.425,69.12
Js Th 3h,AhKs,0.487,52.54
Js Th 3h,2s2c,0.056,34.73
Js Th 3h,2s2d,0.056,34.73
Js Th 3h,2s2h,0.056,37.40
Js Th 3h,3s3c,0.138,85.35
Js Th 3h,3s3d,0.138,85.35
Js Th 3h,4s4c,0.163,36.50
Js Th 3h,4s4d,0.163,36.50
Js Th 3h,4s4h,0.163,39.32
Js Th 3h,5s5c,0.130,36.48
Js Th 3h,5s5d,0.130,36.48
Js Th 3h,5s5h,0.130,39.52
Js Th 3h,6s6c,0.330,37.83
Js Th 3h,6s6d,0.330,37.83
Js Th 3h,6s6h,0.330,40.80
Js Th 3h,6s5s,0.095,18.14
Js Th 3h,7s7c,0.345,39.52
Js Th 3h,7s7d,0.345,39.52
Js Th 3h,7s7h,0.345,42.37
Js Th 3h,7s6s,0.165,19.24
Js Th 3h,8s8c,0.385,40.90
Js Th 3h,8s8d,0.385,40.90
Js Th 3h,8s8h,0.385,43.56
Js Th 3h,8s7s,0.180,29.34
Js Th 3h,9s9c,0.420,43.61
Js Th 3h,9s9d,0.420,43.61
Js Th 3h,9s9h,0.420,45.69
Js Th 3h,9s8s,0.144,39.33
Js Th 3h,TsTc,0.440,85.37
Js Th 3h,TsTd,0.440,85.37
Js Th 3h,Ts9s,0.225,51.07
Js Th 3h,QsQc,0.870,59.15
Js Th 3h,QsQd,0.870,59.15
Js Th 3h,QsQh,0.870,61.82
Js Th 3h,QsTs,0.050,53.62
Js Th 3h,KsKc,0.442,66.53
Js Th 3h,KsKd,0.442,66.53
Js Th 3h,KsKh,0.442,69.85
Js Th 3h,KsTs,0.050,54.71
Js Th 3h,KsQs,0.825,45.05
Js Th 3h,AsKc,0.487,48.17
Js Th 3h,AsAc,0.120,78.08
Js Th 3h,AsKd,0.487,48.17
Js Th 3h,AsAd,0.120,78.08
Js Th 3h,AsKh,0.487,51.44
Js Th 3h,AsAh,0.120,82.05
Js Th 3h,As4s,0.180,30.25
Js Th 3h,As5s,0.515,30.43
Js Th 3h,As8s,0.090,32.68
Js Th 3h,As9s,0.104,34.25
Js Th 3h,AsTs,0.780,55.39
Js Th 3h,AsQs,0.930,44.00
Js Th 3h,AsKs,0.425,50.72
Js Th 4s,6c5c,0.095,14.96
Js Th 4s,7c6c,0.165,16.07
Js Th 4s,8c7c,0.180,26.89
Js Th 4s,9c8c,0.144,36.11
Js Th 4s,Tc9c,0.225,48.07
Js Th 4s,JcTc,0.180,76.19
Js Th 4s,QcTc,0.050,50.92
Js Th 4s,QcJc,0.155,55.63
Js Th 4s,KcTc,0.050,51.19
Js Th 4s,KcJc,0.565,57.35
Js Th 4s,KcQc,0.825,41.14
Js Th 4s,Ac4c,0.180,43.65
Js Th 4s,Ac5c,0.515,25.07
Js Th 4s,Ac8c,0.090,27.46
Js Th 4s,Ac9c,0.104,29.21
Js Th 4s,AcTc,0.780,51.92
Js Th 4s,AcJc,0.775,58.13
Js Th 4s,AcQc,0.930,39.46
Js Th 4s,AcKc,0.425,46.29
Js Th 4s,AcKd,0.487,46.26
Js Th 4s,AcKh,0.487,46.29
Js Th 4s,AcKs,0.487,49.64
Js Th 4s,2d2c,0.056,32.71
Js Th 4s,3d3c,0.138,32.95
Js Th 4s,4d4c,0.163,85.01
Js Th 4s,5d5c,0.130,35.89
Js Th 4s,6d6c,0.330,37.07
Js Th 4s,6d5d,0.095,14.96
Js Th 4s,7d7c,0.345,38.80
Js Th 4s,7d6d,0.165,16.07
Js Th 4s,8d8c,0.385,40.24
Js Th 4s,8d7d,0.180,26.89
Js Th 4s,9d9c,0.420,43.01
Js Th 4s,9d8d,0.144,36.11
Js Th 4s,TdTc,0.440,85.18
Js Th 4s,Td9d,0.225,48.07
Js Th 4s,JdJc,0.635,85.99
Js Th 4s,JdTd,0.180,76.19
Js Th 4s,QdQc,0.870,58.04
Js Th 4s,QdTd,0.050,50.92
Js Th 4s,QdJd,0.155,55.63
Js Th 4s,KdKc,0.442,65.68
Js Th 4s,KdTd,0.050,51.19
Js Th 4s,KdJd,0.565,57.35
Js Th 4s,KdQd,0.825,41.14
Js Th 4s,AdKc,0.487,46.26
Js Th 4s,AdAc,0.120,77.09
Js Th 4s,Ad4d,0.180,43.65
Js Th 4s,Ad5d,0.515,25.07
Js Th 4s,Ad8d,0.090,27.46
Js Th 4s,Ad9d,0.104,29.21
Js Th 4s,AdTd,0.780,51.92
Js Th 4s,AdJd,0.775,58.13
Js Th 4s,AdQd,0.930,39.46
Js Th 4s,AdKd,0.425,46.29
Js Th 4s,AdKh,0.487,46.29
Js Th 4s,AdKs,0.487,49.64
Js Th 4s,2h2c,0.056,32.80
Js Th 4s,2h2d,0.056,32.80
Js Th 4s,3h3c,0.138,33.05
Js Th 4s,3h3d,0.138,33.05
Js Th 4s,4h4c,0.163,85.05
Js Th 4s,4h4d,0.163,85.05
Js Th 4s,5h5c,0.130,36.04
Js Th 4s,5h5d,0.130,36.04
Js Th 4s,6h6c,0.330,37.21
Js Th 4s,6h6d,0.330,37.21
Js Th 4s,6h5h,0.095,18.63
Js Th 4s,7h7c,0.345,38.93
Js Th 4s,7h7d,0.345,38.93
Js Th 4s,7h6h,0.165,19.74
Js Th 4s,8h8c,0.385,40.35
Js Th 4s,8h8d,0.385,40.35
Js Th 4s,8h7h,0.180,30.03
Js Th 4s,9h9c,0.420,42.86
Js Th 4s,9h9d,0.420,42.86
Js Th 4s,9h8h,0.144,38.76
Js Th 4s,JhJc,0.635,86.14
Js Th 4s,JhJd,0.635,86.14
Js Th 4s,QhQc,0.870,58.40
Js Th 4s,QhQd,0.870,58.40
Js Th 4s,QhJh,0.155,57.74
Js Th 4s,KhKc,0.442,66.11
Js Th 4s,KhKd,0.442,66.11
Js Th 4s,KhJh,0.565,59.59
Js Th 4s,KhQh,0.825,43.87
Js Th 4s,AhKc,0.487,46.50
Js Th 4s,AhAc,0.120,77.41
Js Th 4s,AhKd,0.487,46.50
Js Th 4s,AhAd,0.120,77.41
Js Th 4s,Ah4h,0.180,46.71
Js Th 4s,Ah5h,0.515,28.71
Js Th 4s,Ah8h,0.090,30.99
Js Th 4s,Ah9h,0.104,32.51
Js Th 4s,AhJh,0.775,60.23
Js Th 4s,AhQh,0.930,42.36
Js Th 4s,AhKh,0.425,48.95
Js Th 4s,AhKs,0.487,49.89
Js Th 4s,2s2c,0.056,35.46
Js Th 4s,2s2d,0.056,35.46
Js Th 4s,2s2h,0.056,35.55
Js Th 4s,3s3c,0.138,35.70
Js Th 4s,3s3d,0.138,35.70
Js Th 4s,3s3h,0.138,35.79
Js Th 4s,5s5c,0.130,39.02
Js Th 4s,5s5d,0.130,39.02
Js Th 4s,5s5h,0.130,39.17
Js Th 4s,6s6c,0.330,40.04
Js Th 4s,6s6d,0.330,40.04
Js Th 4s,6s6h,0.330,40.18
Js Th 4s,6s5s,0.095,43.13
Js Th 4s,7s7c,0.345,41.64
Js Th 4s,7s7d,0.345,41.64
Js Th 4s,7s7h,0.345,41.77
Js Th 4s,7s6s,0.165,44.06
Js Th 4s,8s8c,0.385,42.88
Js Th 4s,8s8d,0.385,42.88
Js Th 4s,8s8h,0.385,42.99
Js Th 4s,8s7s,0.180,51.04
Js Th 4s,9s9c,0.420,45.29
Js Th 4s,9s9d,0.420,45.29
Js Th 4s,9s9h,0.420,45.16
Js Th 4s,9s8s,0.144,56.98
Js Th 4s,TsTc,0.440,86.44
Js Th 4s,TsTd,0.440,86.44
Js Th 4s,Ts9s,0.225,66.81
Js Th 4s,QsQc,0.870,60.73
Js Th 4s,QsQd,0.870,60.73
Js Th 4s,QsQh,0.870,61.08
Js Th 4s,QsTs,0.050,68.68
Js Th 4s,KsKc,0.442,69.00
Js Th 4s,KsKd,0.442,69.00
Js Th 4s,KsKh,0.442,69.40
Js Th 4s,KsTs,0.050,70.59
Js Th 4s,KsQs,0.825,62.50
Js Th 4s,AsKc,0.487,50.58
Js Th 4s,AsAc,0.120,81.11
Js Th 4s,AsKd,0.487,50.58
Js Th 4s,AsAd,0.120,81.11
Js Th 4s,AsKh,0.487,50.61
Js Th 4s,AsAh,0.120,81.42
Js Th 4s,As5s,0.515,53.53
Js Th 4s,As8s,0.090,55.09
Js Th 4s,As9s,0.104,56.00
Js Th 4s,AsTs,0.780,72.19
Js Th 4s,AsQs,0.930,62.76
Js Th 4s,AsKs,0.425,67.96
Ks 4h 2h,6c5c,0.095,25.47
Ks 4h 2h,7c6c,0.165,14.12
Ks 4h 2h,8c7c,0.180,14.06
Ks 4h 2h,9c8c,0.144,13.54
Ks 4h 2h,Tc9c,0.225,15.58
Ks 4h 2h,JcTc,0.180,18.10
Ks 4h 2h,QcTc,0.050,20.93
Ks 4h 2h,QcJc,0.155,23.19
Ks 4h 2h,KcTc,0.050,58.64
Ks 4h 2h,KcJc,0.565,60.04
Ks 4h 2h,KcQc,0.825,61.10
Ks 4h 2h,Ac4c,0.180,41.82
Ks 4h 2h,Ac5c,0.515,37.11
Ks 4h 2h,Ac8c,0.090,28.50
Ks 4h 2h,Ac9c,0.104,29.59
Ks 4h 2h,AcTc,0.780,31.96
Ks 4h 2h,AcJc,0.775,34.13
Ks 4h 2h,AcQc,0.930,36.75
Ks 4h 2h,AcKc,0.425,72.95
Ks 4h 2h,AcKd,0.487,73.18
Ks 4h 2h,AcKh,0.487,75.88
Ks 4h 2h,2d2c,0.056,85.55
Ks 4h 2h,3d3c,0.138,35.41
Ks 4h 2h,4d4c,0.163,85.66
Ks 4h 2h,5d5c,0.130,36.80
Ks 4h 2h,6d6c,0.330,36.83
Ks 4h 2h,6d5d,0.095,25.47
Ks 4h 2h,7d7c,0.345,36.36
Ks 4h 2h,7d6d,0.165,14.12
Ks 4h 2h,8d8c,0.385,36.65
Ks 4h 2h,8d7d,0.180,14.06
Ks 4h 2h,9d9c,0.420,37.85
Ks 4h 2h,9d8d,0.144,13.54
Ks 4h 2h,TdTc,0.440,38.47
Ks 4h 2h,Td9d,0.225,15.58
Ks 4h 2h,JdJc,0.635,40.71
Ks 4h 2h,JdTd,0.180,18.10
Ks 4h 2h,QdQc,0.870,44.62
Ks 4h 2h,QdTd,0.050,20.93
Ks 4h 2h,QdJd,0.155,23.19
Ks 4h 2h,KdKc,0.442,90.12
Ks 4h 2h,KdTd,0.050,58.64
Ks 4h 2h,KdJd,0.565,60.04
Ks 4h 2h,KdQd,0.825,61.10
Ks 4h 2h,AdKc,0.487,73.18
Ks 4h 2h,AdAc,0.120,75.77
Ks 4h 2h,Ad4d,0.180,41.82
Ks 4h 2h,Ad5d,0.515,37.11
Ks 4h 2h,Ad8d,0.090,28.50
Ks 4h 2h,Ad9d,0.104,29.59
Ks 4h 2h,AdTd,0.780,31.96
Ks 4h 2h,AdJd,0.775,34.13
Ks 4h 2h,AdQd,0.930,36.75
Ks 4h 2h,AdKd,0.425,72.95
Ks 4h 2h,AdKh,0.487,75.88
Ks 4h 2h,3h3c,0.138,37.81
Ks 4h 2h,3h3d,0.138,37.81
Ks 4h 2h,5h5c,0.130,39.65
Ks 4h 2h,5h5d,0.130,39.65
Ks 4h 2h,6h6c,0.330,39.65
Ks 4h 2h,6h6d,0.330,39.65
Ks 4h 2h,6h5h,0.095,49.06
Ks 4h 2h,7h7c,0.345,39.16
Ks 4h 2h,7h7d,0.345,39.16
Ks 4h 2h,7h6h,0.165,41.47
Ks 4h 2h,8h8c,0.385,39.44
Ks 4h 2h,8h8d,0.385,39.44
Ks 4h 2h,8h7h,0.180,41.59
Ks 4h 2h,9h9c,0.420,40.59
Ks 4h 2h,9h9d,0.420,40.59
Ks 4h 2h,9h8h,0.144,41.54
Ks 4h 2h,ThTc,0.440,41.42
Ks 4h 2h,ThTd,0.440,41.42
Ks 4h 2h,Th9h,0.225,43.35
Ks 4h 2h,JhJc,0.635,43.67
Ks 4h 2h,JhJd,0.635,43.67
Ks 4h 2h,JhTh,0.180,45.43
Ks 4h 2h,QhQc,0.870,48.00
Ks 4h 2h,QhQd,0.870,48.00
Ks 4h 2h,QhTh,0.050,47.92
Ks 4h 2h,QhJh,0.155,49.37
Ks 4h 2h,KhKc,0.442,92.46
Ks 4h 2h,KhKd,0.442,92.46
Ks 4h 2h,KhTh,0.050,75.33
Ks 4h 2h,KhJh,0.565,76.37
Ks 4h 2h,KhQh,0.825,77.32
Ks 4h 2h,AhKc,0.487,77.15
Ks 4h 2h,AhAc,0.120,80.19
Ks 4h 2h,AhKd,0.487,77.15
Ks 4h 2h,AhAd,0.120,80.19
Ks 4h 2h,Ah5h,0.515,60.97
Ks 4h 2h,Ah8h,0.090,55.53
Ks 4h 2h,Ah9h,0.104,56.23
Ks 4h 2h,AhTh,0.780,57.77
Ks 4h 2h,AhJh,0.775,59.22
Ks 4h 2h,AhQh,0.930,61.16
Ks 4h 2h,AhKh,0.425,86.13
Ks 4h 2h,2s2c,0.056,85.57
Ks 4h 2h,2s2d,0.056,85.57
Ks 4h 2h,3s3c,0.138,35.43
Ks 4h 2h,3s3d,0.138,35.43
Ks 4h 2h,3s3h,0.138,37.84
Ks 4h 2h,4s4c,0.163,85.72
Ks 4h 2h,4s4d,0.163,85.72
Ks 4h 2h,5s5c,0.130,36.86
Ks 4h 2h,5s5d,0.130,36.86
Ks 4h 2h,5s5h,0.130,39.72
Ks 4h 2h,6s6c,0.330,36.93
Ks 4h 2h,6s6d,0.330,36.93
Ks 4h 2h,6s6h,0.330,39.75
Ks 4h 2h,6s5s,0.095,28.58
Ks 4h 2h,7s7c,0.345,36.42
Ks 4h 2h,7s7d,0.345,36.42
Ks 4h 2h,7s7h,0.345,39.22
Ks 4h 2h,7s6s,0.165,17.86
Ks 4h 2h,8s8c,0.385,36.79
Ks 4h 2h,8s8d,0.385,36.79
Ks 4h 2h,8s8h,0.385,39.58
Ks 4h 2h,8s7s,0.180,17.85
Ks 4h 2h,9s9c,0.420,37.98
Ks 4h 2h,9s9d,0.420,37.98
Ks 4h 2h,9s9h,0.420,40.71
Ks 4h 2h,9s8s,0.144,17.43
Ks 4h 2h,TsTc,0.440,38.38
Ks 4h 2h,TsTd,0.440,38.38
Ks 4h 2h,TsTh,0.440,41.34
Ks 4h 2h,Ts9s,0.225,19.29
Ks 4h 2h,JsJc,0.635,40.92
Ks 4h 2h,JsJd,0.635,40.92
Ks 4h 2h,JsJh,0.635,43.88
Ks 4h 2h,JsTs,0.180,21.74
Ks 4h 2h,QsQc,0.870,44.89
Ks 4h 2h,QsQd,0.870,44.89
Ks 4h 2h,QsQh,0.870,48.27
Ks 4h 2h,QsTs,0.050,24.50
Ks 4h 2h,QsJs,0.155,26.85
Ks 4h 2h,AsKc,0.487,73.23
Ks 4h 2h,AsAc,0.120,76.19
Ks 4h 2h,AsKd,0.487,73.23
Ks 4h 2h,AsAd,0.120,76.19
Ks 4h 2h,AsKh,0.487,75.93
Ks 4h 2h,AsAh,0.120,80.56
Ks 4h 2h,As4s,0.180,44.63
Ks 4h 2h,As5s,0.515,39.96
Ks 4h 2h,As8s,0.090,31.85
Ks 4h 2h,As9s,0.104,32.88
Ks 4h 2h,AsTs,0.780,34.99
Ks 4h 2h,AsJs,0.775,37.21
Ks 4h 2h,AsQs,0.930,39.72
Ks 5h 3d,6c5c,0.095,42.43
Ks 5h 3d,7c6c,0.165,27.15
Ks 5h 3d,8c7c,0.180,14.69
Ks 5h 3d,9c8c,0.144,14.18
Ks 5h 3d,Tc9c,0.225,14.84
Ks 5h 3d,JcTc,0.180,17.55
Ks 5h 3d,QcTc,0.050,20.62
Ks 5h 3d,QcJc,0.155,23.10
Ks 5h 3d,KcTc,0.050,61.41
Ks 5h 3d,KcJc,0.565,62.97
Ks 5h 3d,KcQc,0.825,64.27
Ks 5h 3d,Ac4c,0.180,38.32
Ks 5h 3d,Ac5c,0.515,43.65
Ks 5h 3d,Ac8c,0.090,27.93
Ks 5h 3d,Ac9c,0.104,29.10
Ks 5h 3d,AcTc,0.780,31.64
Ks 5h 3d,AcJc,0.775,33.94
Ks 5h 3d,AcQc,0.930,36.75
Ks 5h 3d,AcKc,0.425,76.96
Ks 5h 3d,AcKd,0.487,77.40
Ks 5h 3d,AcKh,0.487,77.33
Ks 5h 3d,2d2c,0.056,32.68
Ks 5h 3d,4d4c,0.163,36.17
Ks 5h 3d,5d5c,0.130,88.72
Ks 5h 3d,6d6c,0.330,39.63
Ks 5h 3d,6d5d,0.095,45.31
Ks 5h 3d,7d7c,0.345,38.99
Ks 5h 3d,7d6d,0.165,30.15
Ks 5h 3d,8d8c,0.385,38.11
Ks 5h 3d,8d7d,0.180,18.26
Ks 5h 3d,9d9c,0.420,39.41
Ks 5h 3d,9d8d,0.144,17.82
Ks 5h 3d,TdTc,0.440,40.10
Ks 5h 3d,Td9d,0.225,18.50
Ks 5h 3d,JdJc,0.635,42.46
Ks 5h 3d,JdTd,0.180,21.13
Ks 5h 3d,QdQc,0.870,46.72
Ks 5h 3d,QdTd,0.050,24.15
Ks 5h 3d,QdJd,0.155,26.54
Ks 5h 3d,KdKc,0.442,94.32
Ks 5h 3d,KdTd,0.050,63.65
Ks 5h 3d,KdJd,0.565,65.17
Ks 5h 3d,KdQd,0.825,66.45
Ks 5h 3d,AdKc,0.487,77.63
Ks 5h 3d,AdAc,0.120,80.72
Ks 5h 3d,Ad4d,0.180,41.27
Ks 5h 3d,Ad5d,0.515,47.10
Ks 5h 3d,Ad8d,0.090,31.45
Ks 5h 3d,Ad9d,0.104,32.56
Ks 5h 3d,AdTd,0.780,34.99
Ks 5h 3d,AdJd,0.775,37.18
Ks 5h 3d,AdQd,0.930,39.91
Ks 5h 3d,AdKd,0.425,78.67
Ks 5h 3d,AdKh,0.487,77.73
Ks 5h 3d,2h2c,0.056,32.67
Ks 5h 3d,2h2d,0.056,32.78
Ks 5h 3d,3h3c,0.138,88.70
Ks 5h 3d,4h4c,0.163,36.00
Ks 5h 3d,4h4d,0.163,36.10
Ks 5h 3d,6h6c,0.330,40.06
Ks 5h 3d,6h6d,0.330,40.22
Ks 5h 3d,7h7c,0.345,38.98
Ks 5h 3d,7h7d,0.345,39.14
Ks 5h 3d,7h6h,0.165,30.19
Ks 5h 3d,8h8c,0.385,38.10
Ks 5h 3d,8h8d,0.385,38.27
Ks 5h 3d,8h7h,0.180,18.29
Ks 5h 3d,9h9c,0.420,39.40
Ks 5h 3d,9h9d,0.420,39.56
Ks 5h 3d,9h8h,0.144,17.84
Ks 5h 3d,ThTc,0.440,40.09
Ks 5h 3d,ThTd,0.440,40.28
Ks 5h 3d,Th9h,0.225,18.51
Ks 5h 3d,JhJc,0.635,42.44
Ks 5h 3d,JhJd,0.635,42.64
Ks 5h 3d,JhTh,0.180,21.14
Ks 5h 3d,QhQc,0.870,46.71
Ks 5h 3d,QhQd,0.870,46.96
Ks 5h 3d,QhTh,0.050,24.16
Ks 5h 3d,QhJh,0.155,26.55
Ks 5h 3d,KhKc,0.442,94.32
Ks 5h 3d,KhKd,0.442,94.52
Ks 5h 3d,KhTh,0.050,63.52
Ks 5h 3d,KhJh,0.565,65.04
Ks 5h 3d,KhQh,0.825,66.30
Ks 5h 3d,AhKc,0.487,77.56
Ks 5h 3d,AhAc,0.120,80.67
Ks 5h 3d,AhKd,0.487,77.73
Ks 5h 3d,AhAd,0.120,81.10
Ks 5h 3d,Ah4h,0.180,41.23
Ks 5h 3d,Ah8h,0.090,31.52
Ks 5h 3d,Ah9h,0.104,32.63
Ks 5h 3d,AhTh,0.780,35.06
Ks 5h 3d,AhJh,0.775,37.26
Ks 5h 3d,AhQh,0.930,40.01
Ks 5h 3d,AhKh,0.425,78.47
Ks 5h 3d,2s2c,0.056,32.65
Ks 5h 3d,2s2d,0.056,32.77
Ks 5h 3d,2s2h,0.056,32.76
Ks 5h 3d,3s3c,0.138,88.69
Ks 5h 3d,3s3h,0.138,88.72
Ks 5h 3d,4s4c,0.163,35.98
Ks 5h 3d,4s4d,0.163,36.07
Ks 5h 3d,4s4h,0.163,35.91
Ks 5h 3d,5s5c,0.130,88.71
Ks 5h 3d,5s5d,0.130,88.79
Ks 5h 3d,6s6c,0.330,39.56
Ks 5h 3d,6s6d,0.330,39.73
Ks 5h 3d,6s6h,0.330,40.15
Ks 5h 3d,6s5s,0.095,45.34
Ks 5h 3d,7s7c,0.345,38.88
Ks 5h 3d,7s7d,0.345,39.03
Ks 5h 3d,7s7h,0.345,39.02
Ks 5h 3d,7s6s,0.165,30.27
Ks 5h 3d,8s8c,0.385,38.08
Ks 5h 3d,8s8d,0.385,38.25
Ks 5h 3d,8s8h,0.385,38.23
Ks 5h 3d,8s7s,0.180,18.45
Ks 5h 3d,9s9c,0.420,39.37
Ks 5h 3d,9s9d,0.420,39.53
Ks 5h 3d,9s9h,0.420,39.52
Ks 5h 3d,9s8s,0.144,18.05
Ks 5h 3d,TsTc,0.440,39.81
Ks 5h 3d,TsTd,0.440,40.00
Ks 5h 3d,TsTh,0.440,39.99
Ks 5h 3d,Ts9s,0.225,18.61
Ks 5h 3d,JsJc,0.635,42.48
Ks 5h 3d,JsJd,0.635,42.67
