Flop,Hand,Weight IP,IP Equity,BET 100% freq,BET 60% freq,BET 31.1% freq,CHECK freq
8s 7s 6h,4h4d,0.355,46.33,0.11,0.33,0.33,99.23
8s 7s 6h,5h5c,0.930,54.25,0.26,0.37,6.67,92.71
8s 7s 6h,5h5d,0.930,54.25,0.26,0.37,6.67,92.71
8s 7s 6h,5h4h,0.095,79.82,0.75,8.73,67.31,23.22
8s 7s 6h,7h7c,1.000,80.94,1.65,8.21,39.63,50.51
8s 7s 6h,7h7d,1.000,80.94,1.65,8.21,39.63,50.51
8s 7s 6h,8h8c,1.000,81.80,2.39,11.23,47.05,39.33
8s 7s 6h,8h8d,1.000,81.80,2.39,11.23,47.05,39.33
8s 7s 6h,8h7h,0.180,73.66,1.94,14.57,45.27,38.22
8s 7s 6h,9h9c,1.000,71.72,0.65,4.24,33.49,61.62
8s 7s 6h,9h9d,1.000,71.72,0.65,4.25,33.49,61.62
8s 7s 6h,9h7h,0.010,67.04,0.16,0.45,2.03,97.36
8s 7s 6h,9h8h,0.375,69.56,0.69,2.86,25.78,70.68
8s 7s 6h,ThTc,1.000,66.99,1.05,7.64,41.59,49.72
8s 7s 6h,ThTd,1.000,66.99,1.05,7.64,41.59,49.72
8s 7s 6h,Th8h,0.440,65.78,0.87,7.02,31.61,60.51
8s 7s 6h,Th9h,1.000,89.56,3.38,14.65,57.81,24.16
8s 7s 6h,JhJc,1.000,61.51,0.43,1.44,13.51,84.62
8s 7s 6h,JhJd,1.000,61.51,0.43,1.45,13.51,84.61
8s 7s 6h,Jh9h,1.000,43.34,1.98,11.22,37.45,49.35
8s 7s 6h,JhTh,1.000,35.56,0.63,5.46,41.38,52.52
8s 7s 6h,QhJc,0.350,27.05,1.10,5.18,10.57,83.15
8s 7s 6h,QhQc,1.000,63.22,0.36,1.27,7.32,91.05
8s 7s 6h,QhJd,0.350,27.05,1.10,5.18,10.56,83.15
8s 7s 6h,QhQd,1.000,63.22,0.36,1.27,7.32,91.05
8s 7s 6h,Qh8h,0.035,59.47,0.40,0.46,2.73,96.41
8s 7s 6h,Qh9h,1.000,45.24,0.95,7.02,37.91,54.11
8s 7s 6h,QhTh,1.000,37.41,1.09,5.25,29.00,64.66
8s 7s 6h,QhJh,1.000,30.43,1.71,9.57,35.98,52.74
8s 7s 6h,QhJs,0.350,30.65,3.31,13.75,32.14,50.80
8s 7s 6h,KhTc,0.050,39.58,0.74,1.57,39.53,58.17
8s 7s 6h,KhJc,0.615,32.37,1.19,7.98,18.38,72.45
8s 7s 6h,KhQc,1.000,33.49,0.80,2.66,11.78,84.76
8s 7s 6h,KhKc,1.000,65.27,0.28,0.71,5.42,93.59
8s 7s 6h,KhTd,0.050,39.58,0.74,1.57,39.53,58.17
8s 7s 6h,KhJd,0.615,32.37,1.19,7.98,18.38,72.45
8s 7s 6h,KhQd,1.000,33.49,0.80,2.66,11.78,84.76
8s 7s 6h,KhKd,1.000,65.27,0.28,0.71,5.42,93.59
8s 7s 6h,Kh5h,0.205,44.21,0.89,17.54,55.86,25.71
8s 7s 6h,Kh7h,0.585,56.50,0.47,2.23,22.97,74.34
8s 7s 6h,Kh8h,0.790,59.81,0.55,5.61,37.45,56.39
8s 7s 6h,Kh9h,1.000,49.28,0.74,5.23,35.39,58.63
8s 7s 6h,KhTh,1.000,42.31,1.01,3.88,14.48,80.63
8s 7s 6h,KhJh,1.000,35.59,1.90,10.49,30.79,56.82
8s 7s 6h,KhQh,1.000,36.66,1.57,12.15,23.82,62.47
8s 7s 6h,KhTs,0.050,42.34,2.13,13.52,32.34,52.00
8s 7s 6h,KhJs,0.615,35.85,7.34,13.62,49.62,29.42
8s 7s 6h,KhQs,1.000,37.14,2.51,9.36,48.49,39.64
8s 7s 6h,AhTc,0.755,46.81,0.52,1.21,5.96,92.31
8s 7s 6h,AhJc,1.000,40.03,0.61,2.60,45.77,51.02
8s 7s 6h,AhQc,1.000,41.31,0.41,1.27,30.98,67.34
8s 7s 6h,AhKc,1.000,42.69,0.36,1.39,27.07,71.17
8s 7s 6h,AhAc,1.000,67.34,0.18,0.44,1.48,97.90
8s 7s 6h,AhTd,0.755,46.81,0.52,1.21,5.96,92.31
8s 7s 6h,AhJd,1.000,40.03,0.61,2.60,45.77,51.02
8s 7s 6h,AhQd,1.000,41.31,0.41,1.27,30.98,67.34
8s 7s 6h,AhKd,1.000,42.69,0.36,1.39,27.07,71.17
8s 7s 6h,AhAd,1.000,67.34,0.18,0.44,1.48,97.90
8s 7s 6h,Ah3h,1.000,35.19,1.54,11.73,22.65,64.08
8s 7s 6h,Ah4h,1.000,41.85,0.71,1.66,7.71,89.92
8s 7s 6h,Ah5h,1.000,48.90,0.65,6.23,32.24,60.88
8s 7s 6h,Ah7h,1.000,57.10,0.40,2.19,28.73,68.68
8s 7s 6h,Ah8h,1.000,60.73,0.43,6.63,49.18,43.76
8s 7s 6h,Ah9h,1.000,54.86,0.45,1.77,23.22,74.56
8s 7s 6h,AhTh,1.000,49.24,0.63,4.32,42.20,52.85
8s 7s 6h,AhJh,1.000,42.91,0.72,1.99,2.23,95.06
8s 7s 6h,AhQh,1.000,44.14,0.44,1.05,1.17,97.34
8s 7s 6h,AhKh,1.000,45.46,0.41,1.01,1.14,97.44
8s 7s 6h,AhTs,0.755,49.42,1.08,5.21,24.60,69.11
8s 7s 6h,AhJs,1.000,43.36,1.38,7.24,41.29,50.10
8s 7s 6h,AhQs,1.000,44.80,0.75,5.14,25.20,68.91
8s 7s 6h,AhKs,1.000,46.28,0.55,2.21,14.35,82.89
8s 7s 6h,2s2c,0.355,39.50,0.80,3.61,24.05,71.54
8s 7s 6h,2s2d,0.355,39.50,0.80,3.61,24.05,71.54
8s 7s 6h,2s2h,0.355,39.62,0.71,1.79,14.15,83.35
8s 7s 6h,3s3c,0.325,41.27,0.44,1.09,5.53,92.94
8s 7s 6h,3s3d,0.325,41.27,0.44,1.09,5.53,92.94
8s 7s 6h,3s3h,0.325,41.32,0.45,1.09,1.20,97.26
8s 7s 6h,4s4c,0.355,48.73,0.13,0.41,0.35,99.11
8s 7s 6h,4s4d,0.355,48.73,0.13,0.41,0.35,99.11
8s 7s 6h,4s4h,0.355,48.76,0.14,0.42,2.65,96.79
8s 7s 6h,5s5c,0.930,56.23,0.46,2.05,25.58,71.91
8s 7s 6h,5s5d,0.930,56.23,0.46,2.05,25.58,71.91
8s 7s 6h,5s5h,0.930,56.33,0.46,2.35,26.62,70.58
8s 7s 6h,5s4s,0.095,86.08,1.51,12.88,60.43,25.18
8s 7s 6h,6s6c,1.000,81.48,1.13,7.10,36.39,55.38
8s 7s 6h,6s6d,1.000,81.48,1.13,7.10,36.40,55.38
8s 7s 6h,6s5s,0.205,72.82,0.45,1.15,25.69,72.71
8s 7s 6h,9s9c,1.000,73.39,1.14,7.23,38.16,53.47
8s 7s 6h,9s9d,1.000,73.39,1.14,7.23,38.16,53.47
8s 7s 6h,9s9h,1.000,73.51,1.26,8.86,44.87,45.01
8s 7s 6h,TsTc,1.000,69.12,1.90,11.44,45.37,41.29
8s 7s 6h,TsTd,1.000,69.12,1.90,11.44,45.37,41.29
8s 7s 6h,TsTh,1.000,69.28,2.19,13.26,48.70,35.85
8s 7s 6h,Ts9s,1.000,93.53,4.65,18.20,58.07,19.08
8s 7s 6h,JsJc,1.000,64.29,0.45,6.94,40.83,51.78
8s 7s 6h,JsJd,1.000,64.29,0.45,6.94,40.83,51.78
8s 7s 6h,JsJh,1.000,64.51,0.45,6.90,41.07,51.58
8s 7s 6h,Js9s,1.000,61.62,2.05,12.59,41.25,44.11
8s 7s 6h,JsTs,1.000,56.72,1.01,5.24,38.67,55.09
8s 7s 6h,QsJc,0.350,30.72,2.01,14.02,38.30,45.67
8s 7s 6h,QsQc,1.000,66.09,0.57,6.50,31.95,60.99
8s 7s 6h,QsJd,0.350,30.72,2.01,14.02,38.30,45.67
8s 7s 6h,QsQd,1.000,66.09,0.57,6.50,31.95,60.98
8s 7s 6h,QsJh,0.350,30.83,2.51,8.21,33.21,56.07
8s 7s 6h,QsQh,1.000,66.30,0.57,7.01,36.32,56.10
8s 7s 6h,Qs9s,1.000,63.14,2.00,8.37,34.26,55.37
8s 7s 6h,QsTs,1.000,58.25,1.86,7.96,32.39,57.79
8s 7s 6h,QsJs,1.000,53.93,0.87,3.92,38.48,56.73
8s 7s 6h,KsTc,0.050,43.01,1.21,3.35,78.20,17.24
8s 7s 6h,KsJc,0.615,36.05,2.16,16.85,37.89,43.10
8s 7s 6h,KsQc,1.000,37.19,1.86,14.39,31.03,52.71
8s 7s 6h,KsKc,1.000,68.16,0.70,4.94,31.09,63.27
8s 7s 6h,KsTd,0.050,43.01,1.21,3.35,78.20,17.24
8s 7s 6h,KsJd,0.615,36.05,2.16,16.85,37.89,43.10
8s 7s 6h,KsQd,1.000,37.19,1.86,14.39,31.03,52.71
8s 7s 6h,KsKd,1.000,68.16,0.70,4.95,31.09,63.27
8s 7s 6h,KsTh,0.050,43.07,0.87,2.60,43.49,53.05
8s 7s 6h,KsJh,0.615,36.14,2.41,14.90,40.34,42.35
8s 7s 6h,KsQh,1.000,37.29,2.13,10.73,43.10,44.04
8s 7s 6h,KsKh,1.000,68.36,0.65,5.80,31.48,62.07
8s 7s 6h,Ks5s,0.205,62.86,3.11,14.41,49.97,32.50
8s 7s 6h,Ks6s,0.465,70.38,1.08,4.35,30.71,63.86
8s 7s 6h,Ks9s,1.000,66.42,2.66,10.84,43.45,43.05
8s 7s 6h,KsTs,1.000,62.14,2.69,10.90,38.73,47.68
8s 7s 6h,KsJs,1.000,57.98,2.11,12.56,43.87,41.46
8s 7s 6h,KsQs,1.000,58.72,1.38,9.97,42.40,46.25
8s 7s 6h,AsTc,0.755,50.25,1.17,11.01,65.41,22.40
8s 7s 6h,AsJc,1.000,43.71,1.66,18.92,47.78,31.64
8s 7s 6h,AsQc,1.000,45.01,1.19,4.65,31.44,62.72
8s 7s 6h,AsKc,1.000,46.37,0.63,1.66,18.28,79.43
8s 7s 6h,AsAc,1.000,70.27,0.57,2.94,24.77,71.72
8s 7s 6h,AsTd,0.755,50.25,1.17,11.01,65.42,22.40
8s 7s 6h,AsJd,1.000,43.71,1.66,18.92,47.78,31.64
8s 7s 6h,AsQd,1.000,45.01,1.19,4.65,31.44,62.72
8s 7s 6h,AsKd,1.000,46.37,0.63,1.66,18.28,79.43
8s 7s 6h,AsAd,1.000,70.27,0.57,2.94,24.77,71.71
8s 7s 6h,AsTh,0.755,50.30,1.18,8.88,51.07,38.87
8s 7s 6h,AsJh,1.000,43.79,2.33,20.75,45.83,31.09
8s 7s 6h,AsQh,1.000,45.10,1.49,10.72,42.69,45.10
8s 7s 6h,AsKh,1.000,46.45,0.76,2.05,21.42,75.78
8s 7s 6h,AsAh,1.000,70.47,0.52,3.53,29.46,66.49
8s 7s 6h,As3s,1.000,57.97,1.85,9.15,34.63,54.37
8s 7s 6h,As4s,1.000,62.19,1.40,8.12,34.61,55.87
8s 7s 6h,As5s,1.000,66.67,2.95,11.89,43.66,41.50
8s 7s 6h,As6s,1.000,71.44,1.19,5.79,36.02,56.99
8s 7s 6h,As9s,1.000,70.82,2.90,11.39,49.88,35.82
8s 7s 6h,AsTs,1.000,67.47,2.66,13.59,51.73,32.02
8s 7s 6h,AsJs,1.000,63.58,1.66,9.77,47.37,41.20
8s 7s 6h,AsQs,1.000,64.45,1.18,7.55,35.22,56.05
8s 7s 6h,AsKs,1.000,65.36,0.68,2.83,20.26,76.23
9s 3h 2d,5c4c,0.095,41.88,0.87,1.66,97.30,0.17
9s 3h 2d,6c5c,0.205,31.95,0.37,1.36,95.86,2.41
9s 3h 2d,7c6c,0.165,22.50,0.56,0.70,70.36,28.39
9s 3h 2d,8c7c,0.180,25.34,0.45,0.54,24.84,74.17
9s 3h 2d,9c7c,0.010,71.26,0.32,1.22,88.12,10.35
9s 3h 2d,9c8c,0.375,71.92,0.34,1.51,97.74,0.41
9s 3h 2d,Tc8c,0.440,28.77,1.25,1.60,67.33,29.82
9s 3h 2d,Tc9c,1.000,75.07,0.33,0.90,87.20,11.57
9s 3h 2d,Jc9c,1.000,75.83,0.38,1.25,91.19,7.18
9s 3h 2d,JcTc,1.000,33.84,1.11,1.25,87.45,10.19
9s 3h 2d,Qc8c,0.035,33.74,0.45,0.52,99.01,0.02
9s 3h 2d,Qc9c,1.000,76.06,0.78,1.36,93.30,4.55
9s 3h 2d,QcTc,1.000,37.27,1.65,2.03,84.86,11.46
9s 3h 2d,QcJc,1.000,39.53,1.18,1.31,93.33,4.19
9s 3h 2d,QcJd,0.350,39.69,1.51,1.76,87.02,9.71
9s 3h 2d,QcJh,0.350,39.67,1.51,1.77,86.72,10.00
9s 3h 2d,QcJs,0.350,39.66,1.59,1.85,86.01,10.55
9s 3h 2d,Kc5c,0.205,38.55,1.27,1.71,90.24,6.77
9s 3h 2d,Kc6c,0.465,38.45,0.56,0.74,96.22,2.48
9s 3h 2d,Kc7c,0.585,38.00,0.49,0.59,92.07,6.85
9s 3h 2d,Kc8c,0.790,38.73,0.47,0.58,93.60,5.34
9s 3h 2d,Kc9c,1.000,76.31,0.99,1.33,95.91,1.77
9s 3h 2d,KcTc,1.000,42.36,1.15,1.44,92.11,5.30
9s 3h 2d,KcJc,1.000,44.56,1.34,1.63,86.72,10.32
9s 3h 2d,KcQc,1.000,46.52,1.06,1.48,91.79,5.67
9s 3h 2d,KcTd,0.050,42.53,1.15,1.38,95.58,1.89
9s 3h 2d,KcJd,0.615,44.70,1.41,1.79,90.74,6.06
9s 3h 2d,KcQd,1.000,46.61,1.37,1.99,87.46,9.18
9s 3h 2d,KcTh,0.050,42.51,1.11,1.32,96.78,0.79
9s 3h 2d,KcJh,0.615,44.68,1.40,1.78,90.73,6.09
9s 3h 2d,KcQh,1.000,46.61,1.38,1.98,87.91,8.73
9s 3h 2d,KcTs,0.050,42.54,1.29,1.61,85.99,11.11
9s 3h 2d,KcJs,0.615,44.67,1.39,1.77,89.11,7.73
9s 3h 2d,KcQs,1.000,46.61,1.40,2.00,86.78,9.81
9s 3h 2d,Ac3c,1.000,60.61,1.35,1.66,95.79,1.21
9s 3h 2d,Ac4c,1.000,52.80,1.11,1.43,93.37,4.09
9s 3h 2d,Ac5c,1.000,53.54,1.16,1.15,92.54,5.15
9s 3h 2d,Ac6c,1.000,46.18,0.62,0.92,97.63,0.84
9s 3h 2d,Ac7c,1.000,46.63,0.57,0.77,97.46,1.20
9s 3h 2d,Ac8c,1.000,47.73,0.49,0.67,94.78,4.06
9s 3h 2d,Ac9c,1.000,78.24,1.50,1.54,96.86,0.10
9s 3h 2d,AcTc,1.000,51.00,0.77,0.98,63.39,34.87
9s 3h 2d,AcJc,1.000,53.22,0.62,0.73,80.78,17.87
9s 3h 2d,AcQc,1.000,55.28,0.45,0.57,93.09,5.89
9s 3h 2d,AcKc,1.000,56.54,0.47,0.66,95.44,3.43
9s 3h 2d,AcTd,0.755,51.17,0.84,1.02,81.92,16.22
9s 3h 2d,AcJd,1.000,53.36,0.67,0.81,84.99,13.53
9s 3h 2d,AcQd,1.000,55.35,0.51,0.65,90.05,8.80
9s 3h 2d,AcKd,1.000,56.61,0.49,0.76,91.31,7.44
9s 3h 2d,AcTh,0.755,51.14,0.83,1.00,81.90,16.28
9s 3h 2d,AcJh,1.000,53.33,0.66,0.80,84.55,13.99
9s 3h 2d,AcQh,1.000,55.35,0.50,0.64,89.54,9.32
9s 3h 2d,AcKh,1.000,56.61,0.48,0.78,91.32,7.42
9s 3h 2d,AcTs,0.755,51.18,0.88,1.19,83.46,14.48
9s 3h 2d,AcJs,1.000,53.32,0.67,0.80,82.53,16.00
9s 3h 2d,AcQs,1.000,55.35,0.50,0.63,88.04,10.83
9s 3h 2d,AcKs,1.000,56.63,0.47,0.95,90.79,7.79
9s 3h 2d,3d3c,0.325,93.99,2.87,2.49,94.61,0.03
9s 3h 2d,4d4c,0.355,58.18,0.85,0.79,92.33,6.03
9s 3h 2d,5d5c,0.930,60.27,0.65,0.90,91.63,6.81
9s 3h 2d,5d4d,0.095,44.50,1.64,2.22,96.00,0.14
9s 3h 2d,6d6c,1.000,61.72,0.58,1.00,92.28,6.15
9s 3h 2d,6d5d,0.205,35.09,0.91,1.25,95.01,2.83
9s 3h 2d,7d7c,1.000,63.08,0.44,0.98,91.12,7.46
9s 3h 2d,7d6d,0.165,26.15,0.54,0.61,74.02,24.83
9s 3h 2d,8d8c,1.000,65.76,0.41,0.92,88.78,9.89
9s 3h 2d,8d7d,0.180,28.92,0.36,0.41,80.12,19.11
9s 3h 2d,9d9c,1.000,95.29,0.92,1.57,97.46,0.06
9s 3h 2d,9d7d,0.010,72.95,0.50,1.65,97.48,0.37
9s 3h 2d,9d8d,0.375,73.57,1.35,1.55,96.86,0.23
9s 3h 2d,TdTc,1.000,77.53,1.33,1.99,94.54,2.14
9s 3h 2d,Td8d,0.440,32.30,0.77,0.89,90.39,7.96
9s 3h 2d,Td9d,1.000,76.57,0.60,1.08,91.62,6.70
9s 3h 2d,JdJc,1.000,80.65,1.44,1.66,93.92,2.98
9s 3h 2d,Jd9d,1.000,77.36,0.70,1.21,93.72,4.36
9s 3h 2d,JdTd,1.000,37.26,1.50,1.76,92.86,3.87
9s 3h 2d,QdJc,0.350,39.66,1.73,1.97,88.29,8.02
9s 3h 2d,QdQc,1.000,83.16,1.45,1.35,94.53,2.68
9s 3h 2d,Qd8d,0.035,37.16,1.21,1.37,40.65,56.77
9s 3h 2d,Qd9d,1.000,77.66,0.81,1.43,94.67,3.09
9s 3h 2d,QdTd,1.000,40.58,1.39,1.64,91.80,5.16
9s 3h 2d,QdJd,1.000,42.73,1.47,1.62,96.45,0.46
9s 3h 2d,QdJh,0.350,39.78,2.33,2.80,84.03,10.83
9s 3h 2d,QdJs,0.350,39.78,2.53,3.01,82.40,12.06
9s 3h 2d,KdTc,0.050,42.46,1.09,1.34,97.12,0.45
9s 3h 2d,KdJc,0.615,44.66,1.35,1.60,94.51,2.54
9s 3h 2d,KdQc,1.000,46.61,1.15,1.56,90.03,7.26
9s 3h 2d,KdKc,1.000,84.89,1.17,1.35,93.88,3.60
9s 3h 2d,Kd5d,0.205,41.65,1.67,2.05,90.01,6.27
9s 3h 2d,Kd6d,0.465,41.65,1.32,1.61,87.30,9.78
9s 3h 2d,Kd7d,0.585,41.26,0.98,1.10,84.31,13.61
9s 3h 2d,Kd8d,0.790,41.96,0.91,1.04,89.14,8.92
9s 3h 2d,Kd9d,1.000,77.95,1.18,1.26,96.28,1.29
9s 3h 2d,KdTd,1.000,45.49,1.73,2.03,88.21,8.02
9s 3h 2d,KdJd,1.000,47.57,1.24,1.46,91.62,5.68
9s 3h 2d,KdQd,1.000,49.41,0.87,1.13,96.32,1.69
9s 3h 2d,KdTh,0.050,42.60,1.05,1.23,97.56,0.16
9s 3h 2d,KdJh,0.615,44.77,1.32,1.63,96.86,0.19
9s 3h 2d,KdQh,1.000,46.70,1.21,1.68,94.31,2.81
9s 3h 2d,KdTs,0.050,42.63,1.20,1.46,97.18,0.16
9s 3h 2d,KdJs,0.615,44.76,1.33,1.64,96.01,1.02
9s 3h 2d,KdQs,1.000,46.71,1.27,1.74,92.54,4.45
9s 3h 2d,AdTc,0.755,51.09,0.88,1.12,94.87,3.12
9s 3h 2d,AdJc,1.000,53.32,0.75,0.84,89.96,8.45
9s 3h 2d,AdQc,1.000,55.37,0.49,0.59,92.32,6.60
9s 3h 2d,AdKc,1.000,56.63,0.48,0.65,92.69,6.17
9s 3h 2d,AdAc,1.000,87.67,0.83,0.89,93.85,4.43
9s 3h 2d,Ad3d,1.000,63.03,1.16,1.69,96.76,0.39
9s 3h 2d,Ad4d,1.000,55.26,1.19,1.60,95.49,1.73
9s 3h 2d,Ad5d,1.000,55.97,1.07,1.52,94.88,2.54
9s 3h 2d,Ad6d,1.000,49.06,1.33,2.09,89.27,7.31
9s 3h 2d,Ad7d,1.000,49.52,1.22,1.77,82.96,14.05
9s 3h 2d,Ad8d,1.000,50.58,1.03,1.26,79.14,18.58
9s 3h 2d,Ad9d,1.000,79.82,1.57,1.41,96.92,0.10
9s 3h 2d,AdTd,1.000,53.77,0.69,0.81,87.69,10.82
9s 3h 2d,AdJd,1.000,55.87,0.52,0.60,92.69,6.20
9s 3h 2d,AdQd,1.000,57.79,0.40,0.49,93.93,5.17
9s 3h 2d,AdKd,1.000,58.99,0.41,0.52,97.56,1.52
9s 3h 2d,AdTh,0.755,51.23,0.89,1.07,97.08,0.95
9s 3h 2d,AdJh,1.000,53.43,0.74,0.86,94.63,3.77
9s 3h 2d,AdQh,1.000,55.44,0.51,0.62,95.79,3.07
9s 3h 2d,AdKh,1.000,56.71,0.48,0.96,93.88,4.68
9s 3h 2d,AdTs,0.755,51.28,0.89,1.49,96.92,0.70
9s 3h 2d,AdJs,1.000,53.42,0.75,0.87,93.16,5.21
9s 3h 2d,AdQs,1.000,55.45,0.51,0.61,94.67,4.21
9s 3h 2d,AdKs,1.000,56.73,0.48,0.81,93.50,5.21
9s 3h 2d,2h2c,0.355,93.18,2.56,2.40,95.00,0.04
9s 3h 2d,4h4c,0.355,58.18,0.87,0.80,92.32,6.01
9s 3h 2d,4h4d,0.355,58.41,0.97,0.94,91.50,6.59
9s 3h 2d,5h5c,0.930,60.27,0.65,0.93,91.66,6.76
9s 3h 2d,5h5d,0.930,60.50,0.71,0.90,91.53,6.87
9s 3h 2d,5h4h,0.095,44.50,1.73,2.26,95.86,0.15
9s 3h 2d,6h6c,1.000,61.78,0.59,1.04,92.34,6.04
9s 3h 2d,6h6d,1.000,61.95,0.58,1.16,92.04,6.22
9s 3h 2d,6h5h,0.205,35.09,0.88,1.37,94.63,3.12
9s 3h 2d,7h7c,1.000,63.08,0.46,1.01,90.81,7.73
9s 3h 2d,7h7d,1.000,63.24,0.43,1.35,89.18,9.05
9s 3h 2d,7h6h,0.165,26.15,0.53,0.59,74.65,24.24
9s 3h 2d,8h8c,1.000,65.76,0.41,0.93,88.70,9.96
9s 3h 2d,8h8d,1.000,65.92,0.38,1.19,87.43,10.99
9s 3h 2d,8h7h,0.180,28.92,0.37,0.42,79.91,19.30
9s 3h 2d,9h9c,1.000,95.29,0.92,1.57,97.45,0.06
9s 3h 2d,9h9d,1.000,95.37,0.80,1.56,97.58,0.06
9s 3h 2d,9h7h,0.010,72.94,0.56,1.91,97.12,0.41
9s 3h 2d,9h8h,0.375,73.55,1.35,1.59,96.82,0.24
9s 3h 2d,ThTc,1.000,77.53,1.40,1.98,94.49,2.13
9s 3h 2d,ThTd,1.000,77.70,1.70,1.77,94.05,2.48
9s 3h 2d,Th8h,0.440,32.29,0.79,0.91,90.65,7.65
9s 3h 2d,Th9h,1.000,76.56,0.63,1.08,91.67,6.63
9s 3h 2d,JhJc,1.000,80.65,1.41,1.62,94.04,2.93
9s 3h 2d,JhJd,1.000,80.85,1.37,1.68,93.59,3.37
9s 3h 2d,Jh9h,1.000,77.34,0.67,1.22,93.79,4.32
9s 3h 2d,JhTh,1.000,37.23,1.51,1.79,92.80,3.90
9s 3h 2d,QhJc,0.350,39.65,1.75,1.99,88.00,8.25
9s 3h 2d,QhQc,1.000,83.16,1.41,1.31,94.62,2.66
9s 3h 2d,QhJd,0.350,39.80,2.37,2.83,84.08,10.72
9s 3h 2d,QhQd,1.000,83.36,1.38,1.39,94.01,3.22
9s 3h 2d,Qh8h,0.035,37.16,1.23,1.38,41.93,55.46
9s 3h 2d,Qh9h,1.000,77.63,0.80,1.44,94.68,3.08
9s 3h 2d,QhTh,1.000,40.57,1.39,1.65,91.73,5.23
9s 3h 2d,QhJh,1.000,42.71,1.43,1.62,96.47,0.48
9s 3h 2d,QhJs,0.350,39.77,2.53,3.02,82.95,11.51
9s 3h 2d,KhTc,0.050,42.46,1.10,1.35,97.11,0.44
9s 3h 2d,KhJc,0.615,44.66,1.37,1.61,94.54,2.48
9s 3h 2d,KhQc,1.000,46.62,1.17,1.57,90.35,6.91
9s 3h 2d,KhKc,1.000,84.89,1.15,1.29,93.94,3.62
9s 3h 2d,KhTd,0.050,42.62,1.10,1.28,97.46,0.16
9s 3h 2d,KhJd,0.615,44.80,1.34,1.64,96.83,0.19
9s 3h 2d,KhQd,1.000,46.71,1.22,1.69,94.34,2.75
9s 3h 2d,KhKd,1.000,85.08,1.36,1.46,92.57,4.61
9s 3h 2d,Kh5h,0.205,41.65,1.74,2.12,89.98,6.16
9s 3h 2d,Kh6h,0.465,41.59,1.32,1.61,87.07,10.00
9s 3h 2d,Kh7h,0.585,41.27,0.98,1.09,85.22,12.71
9s 3h 2d,Kh8h,0.790,41.97,0.93,1.06,89.32,8.69
9s 3h 2d,Kh9h,1.000,77.93,1.18,1.23,96.33,1.26
9s 3h 2d,KhTh,1.000,45.48,1.71,2.02,88.46,7.81
9s 3h 2d,KhJh,1.000,47.56,1.22,1.46,91.63,5.69
9s 3h 2d,KhQh,1.000,49.41,0.86,1.13,96.15,1.86
9s 3h 2d,KhTs,0.050,42.63,1.22,1.48,97.14,0.16
9s 3h 2d,KhJs,0.615,44.76,1.34,1.64,96.19,0.82
9s 3h 2d,KhQs,1.000,46.71,1.28,1.73,92.75,4.23
9s 3h 2d,AhTc,0.755,51.08,0.85,1.06,94.39,3.71
9s 3h 2d,AhJc,1.000,53.31,0.72,0.81,89.05,9.42
9s 3h 2d,AhQc,1.000,55.36,0.48,0.59,91.36,7.57
9s 3h 2d,AhKc,1.000,56.62,0.48,0.75,92.72,6.05
9s 3h 2d,AhAc,1.000,87.66,0.81,0.90,94.14,4.16
9s 3h 2d,AhTd,0.755,51.25,0.87,1.04,97.01,1.09
9s 3h 2d,AhJd,1.000,53.44,0.72,0.84,94.08,4.36
9s 3h 2d,AhQd,1.000,55.44,0.51,0.62,95.42,3.45
9s 3h 2d,AhKd,1.000,56.69,0.48,1.01,93.52,4.99
9s 3h 2d,AhAd,1.000,87.84,0.85,0.93,91.78,6.44
9s 3h 2d,Ah4h,1.000,55.25,1.16,1.65,95.59,1.61
9s 3h 2d,Ah5h,1.000,55.96,1.08,1.53,95.01,2.38
9s 3h 2d,Ah6h,1.000,48.98,1.24,2.03,89.24,7.49
9s 3h 2d,Ah7h,1.000,49.51,1.21,1.73,82.68,14.38
9s 3h 2d,Ah8h,1.000,50.58,1.05,1.30,78.42,19.24
9s 3h 2d,Ah9h,1.000,79.80,1.52,1.41,97.01,0.06
9s 3h 2d,AhTh,1.000,53.74,0.70,0.82,88.95,9.53
9s 3h 2d,AhJh,1.000,55.84,0.52,0.59,94.22,4.67
9s 3h 2d,AhQh,1.000,57.78,0.41,0.51,95.43,3.65
9s 3h 2d,AhKh,1.000,59.00,0.41,0.64,98.17,0.78
9s 3h 2d,AhTs,0.755,51.26,0.88,1.23,96.93,0.97
9s 3h 2d,AhJs,1.000,53.40,0.73,0.83,92.11,6.33
9s 3h 2d,AhQs,1.000,55.44,0.50,0.60,93.96,4.93
9s 3h 2d,AhKs,1.000,56.72,0.48,0.80,93.62,5.11
9s 3h 2d,2s2c,0.355,93.19,1.97,1.93,96.07,0.04
9s 3h 2d,2s2h,0.355,93.23,2.44,2.34,95.18,0.04
9s 3h 2d,3s3c,0.325,93.98,2.32,2.04,95.61,0.03
9s 3h 2d,3s3d,0.325,94.05,2.57,2.38,95.02,0.03
9s 3h 2d,4s4c,0.355,58.11,0.84,0.85,91.94,6.36
9s 3h 2d,4s4d,0.355,58.34,0.93,0.90,90.79,7.37
9s 3h 2d,4s4h,0.355,58.33,0.95,0.91,90.75,7.39
9s 3h 2d,5s5c,0.930,60.07,0.62,0.92,91.21,7.26
9s 3h 2d,5s5d,0.930,60.30,0.67,0.87,91.08,7.38
