Flop,Hand,Weight OOP,OOP Equity
Ks 7h 4d,8c7d,0.605,52.44
Ks 7h 4d,8c6h,0.115,28.71
Ks 7h 4d,8c6s,0.115,28.68
Ks 7h 4d,8c7s,0.605,52.27
Ks 7h 4d,9c2c,0.280,11.58
Ks 7h 4d,9c3c,0.265,12.86
Ks 7h 4d,9c5c,1.000,14.65
Ks 7h 4d,9c6c,1.000,16.41
Ks 7h 4d,9c7c,1.000,51.70
Ks 7h 4d,9c8c,0.775,16.89
Ks 7h 4d,9c7d,0.155,51.80
Ks 7h 4d,9c8d,0.515,16.91
Ks 7h 4d,9c8h,0.515,16.91
Ks 7h 4d,9c7s,0.155,51.62
Ks 7h 4d,9c8s,0.515,16.86
Ks 7h 4d,Tc3c,0.265,13.03
Ks 7h 4d,Tc4c,0.415,45.41
Ks 7h 4d,Tc5c,0.530,14.79
Ks 7h 4d,Tc6c,1.000,16.57
Ks 7h 4d,Tc7c,1.000,51.91
Ks 7h 4d,Tc8c,1.000,17.25
Ks 7h 4d,Tc9c,0.620,17.91
Ks 7h 4d,Tc8d,0.230,17.26
Ks 7h 4d,Tc9d,0.845,17.84
Ks 7h 4d,Tc8h,0.230,17.26
Ks 7h 4d,Tc9h,0.845,17.84
Ks 7h 4d,Tc8s,0.230,17.21
Ks 7h 4d,Tc9s,0.845,17.77
Ks 7h 4d,Jc2c,0.470,13.48
Ks 7h 4d,Jc3c,0.700,14.74
Ks 7h 4d,Jc4c,1.000,45.40
Ks 7h 4d,Jc5c,1.000,16.52
Ks 7h 4d,Jc6c,1.000,16.86
Ks 7h 4d,Jc7c,1.000,51.96
Ks 7h 4d,Jc8c,0.980,17.30
Ks 7h 4d,Jc9c,0.950,17.92
Ks 7h 4d,JcTc,0.655,20.16
Ks 7h 4d,Jc9d,0.190,17.86
Ks 7h 4d,JcTd,1.000,20.11
Ks 7h 4d,Jc9h,0.190,17.86
Ks 7h 4d,JcTh,1.000,20.11
Ks 7h 4d,Jc9s,0.190,17.79
Ks 7h 4d,JcTs,1.000,20.03
Ks 7h 4d,Qc2c,1.000,16.06
Ks 7h 4d,Qc3c,1.000,17.26
Ks 7h 4d,Qc4c,1.000,45.44
Ks 7h 4d,Qc5c,1.000,19.00
Ks 7h 4d,Qc6c,0.925,19.35
Ks 7h 4d,Qc7c,1.000,51.98
Ks 7h 4d,Qc8c,0.880,18.57
Ks 7h 4d,Qc9c,0.875,19.26
Ks 7h 4d,QcTc,0.655,21.53
Ks 7h 4d,QcJc,0.350,23.56
Ks 7h 4d,QcTd,1.000,21.51
Ks 7h 4d,QcJd,1.000,23.59
Ks 7h 4d,QcTh,1.000,21.51
Ks 7h 4d,QcJh,1.000,23.59
Ks 7h 4d,QcTs,1.000,21.42
Ks 7h 4d,QcJs,1.000,23.55
Ks 7h 4d,Kc2c,1.000,71.43
Ks 7h 4d,Kc3c,0.900,71.81
Ks 7h 4d,Kc4c,0.690,86.42
Ks 7h 4d,Kc5c,0.880,72.31
Ks 7h 4d,Kc6c,0.935,72.39
Ks 7h 4d,Kc7c,0.860,88.95
Ks 7h 4d,Kc8c,1.000,72.53
Ks 7h 4d,Kc9c,0.990,72.28
Ks 7h 4d,KcTc,0.600,72.98
Ks 7h 4d,KcJc,0.900,74.51
Ks 7h 4d,KcQc,0.830,77.36
Ks 7h 4d,Kc9d,0.320,72.60
Ks 7h 4d,KcTd,1.000,73.30
Ks 7h 4d,KcJd,0.830,74.76
Ks 7h 4d,KcQd,0.760,77.56
Ks 7h 4d,Kc9h,0.320,72.60
Ks 7h 4d,KcTh,1.000,73.29
Ks 7h 4d,KcJh,0.830,74.75
Ks 7h 4d,KcQh,0.760,77.55
Ks 7h 4d,Kc9s,0.320,72.45
Ks 7h 4d,KcTs,1.000,73.15
Ks 7h 4d,KcJs,0.830,74.68
Ks 7h 4d,KcQs,0.760,77.53
Ks 7h 4d,Ac2c,0.680,24.23
Ks 7h 4d,Ac3c,0.755,25.57
Ks 7h 4d,Ac4c,0.835,46.27
Ks 7h 4d,Ac5c,0.810,27.44
Ks 7h 4d,Ac6c,1.000,26.96
Ks 7h 4d,Ac7c,0.970,52.80
Ks 7h 4d,Ac8c,0.940,27.83
Ks 7h 4d,Ac9c,0.925,28.00
Ks 7h 4d,AcTc,0.825,31.62
Ks 7h 4d,AcJc,0.745,36.50
Ks 7h 4d,AcQc,0.475,42.15
Ks 7h 4d,Ac5d,0.430,27.40
Ks 7h 4d,Ac8d,0.465,27.81
Ks 7h 4d,Ac9d,0.980,28.04
Ks 7h 4d,AcTd,0.860,31.76
Ks 7h 4d,AcJd,0.995,36.66
Ks 7h 4d,AcQd,1.000,42.31
Ks 7h 4d,AcKd,0.425,85.53
Ks 7h 4d,Ac5h,0.430,27.41
Ks 7h 4d,Ac8h,0.465,27.80
Ks 7h 4d,Ac9h,0.980,28.04
Ks 7h 4d,AcTh,0.860,31.76
Ks 7h 4d,AcJh,0.995,36.66
Ks 7h 4d,AcQh,1.000,42.31
Ks 7h 4d,AcKh,0.425,85.29
Ks 7h 4d,Ac5s,0.430,27.39
Ks 7h 4d,Ac8s,0.465,27.75
Ks 7h 4d,Ac9s,0.980,27.95
Ks 7h 4d,AcTs,0.860,31.66
Ks 7h 4d,AcJs,0.995,36.61
Ks 7h 4d,AcQs,1.000,42.31
Ks 7h 4d,2d2c,1.000,36.93
Ks 7h 4d,3d3c,1.000,38.30
Ks 7h 4d,3d2d,1.000,16.81
Ks 7h 4d,5d4c,0.290,46.66
Ks 7h 4d,5d5c,1.000,42.69
Ks 7h 4d,5d2d,1.000,18.61
Ks 7h 4d,5d3d,1.000,30.12
Ks 7h 4d,5d4h,0.290,46.74
Ks 7h 4d,5d4s,0.290,46.72
Ks 7h 4d,6d5c,0.495,40.23
Ks 7h 4d,6d6c,1.000,45.44
Ks 7h 4d,6d3d,1.000,29.24
Ks 7h 4d,6d5d,0.475,42.61
Ks 7h 4d,6d5h,0.495,40.32
Ks 7h 4d,6d5s,0.495,40.30
Ks 7h 4d,7d6c,0.500,51.97
Ks 7h 4d,7d7c,1.000,94.11
Ks 7h 4d,7d3d,0.095,53.84
Ks 7h 4d,7d5d,1.000,54.33
Ks 7h 4d,7d6d,0.580,54.33
Ks 7h 4d,7d6h,0.500,52.08
Ks 7h 4d,7d6s,0.500,51.96
Ks 7h 4d,8d6c,0.115,28.71
Ks 7h 4d,8d7c,0.605,52.47
Ks 7h 4d,8d8c,1.000,49.26
Ks 7h 4d,8d5d,1.000,30.00
Ks 7h 4d,8d6d,1.000,31.67
Ks 7h 4d,8d7d,0.550,54.79
Ks 7h 4d,8d6h,0.115,28.80
Ks 7h 4d,8d6s,0.115,28.77
Ks 7h 4d,8d7s,0.605,52.39
Ks 7h 4d,9d7c,0.155,51.87
Ks 7h 4d,9d8c,0.515,16.91
Ks 7h 4d,9d9c,1.000,51.16
Ks 7h 4d,9d2d,0.280,15.46
Ks 7h 4d,9d3d,0.265,16.68
Ks 7h 4d,9d5d,1.000,18.39
Ks 7h 4d,9d6d,1.000,20.07
Ks 7h 4d,9d7d,1.000,54.23
Ks 7h 4d,9d8d,0.775,20.56
Ks 7h 4d,9d8h,0.515,16.99
Ks 7h 4d,9d7s,0.155,51.79
Ks 7h 4d,9d8s,0.515,16.94
Ks 7h 4d,Td8c,0.230,17.26
Ks 7h 4d,Td9c,0.845,17.84
Ks 7h 4d,TdTc,0.965,54.72
Ks 7h 4d,Td3d,0.265,16.83
Ks 7h 4d,Td5d,0.530,18.52
Ks 7h 4d,Td6d,1.000,20.22
Ks 7h 4d,Td7d,1.000,54.41
Ks 7h 4d,Td8d,1.000,20.90
Ks 7h 4d,Td9d,0.620,21.58
Ks 7h 4d,Td8h,0.230,17.34
Ks 7h 4d,Td9h,0.845,17.93
Ks 7h 4d,Td8s,0.230,17.29
Ks 7h 4d,Td9s,0.845,17.87
Ks 7h 4d,Jd9c,0.190,17.83
Ks 7h 4d,JdTc,1.000,20.10
Ks 7h 4d,JdJc,0.870,59.35
Ks 7h 4d,Jd2d,0.470,17.31
Ks 7h 4d,Jd3d,0.700,18.50
Ks 7h 4d,Jd5d,1.000,20.20
Ks 7h 4d,Jd6d,1.000,20.55
Ks 7h 4d,Jd7d,1.000,54.47
Ks 7h 4d,Jd8d,0.980,21.01
Ks 7h 4d,Jd9d,0.950,21.63
Ks 7h 4d,JdTd,0.655,23.76
Ks 7h 4d,Jd9h,0.190,17.95
Ks 7h 4d,JdTh,1.000,20.21
Ks 7h 4d,Jd9s,0.190,17.87
Ks 7h 4d,JdTs,1.000,20.14
Ks 7h 4d,QdTc,1.000,21.48
Ks 7h 4d,QdJc,1.000,23.59
Ks 7h 4d,QdQc,0.345,64.19
Ks 7h 4d,Qd2d,1.000,19.84
Ks 7h 4d,Qd3d,1.000,20.97
Ks 7h 4d,Qd5d,1.000,22.64
Ks 7h 4d,Qd6d,0.925,23.00
Ks 7h 4d,Qd7d,1.000,54.52
Ks 7h 4d,Qd8d,0.880,22.30
Ks 7h 4d,Qd9d,0.875,22.99
Ks 7h 4d,QdTd,0.655,25.15
Ks 7h 4d,QdJd,0.350,27.11
Ks 7h 4d,QdTh,1.000,21.62
Ks 7h 4d,QdJh,1.000,23.71
Ks 7h 4d,QdTs,1.000,21.52
Ks 7h 4d,QdJs,1.000,23.67
Ks 7h 4d,Kd9c,0.320,72.54
Ks 7h 4d,KdTc,1.000,73.26
Ks 7h 4d,KdJc,0.830,74.74
Ks 7h 4d,KdQc,0.760,77.56
Ks 7h 4d,Kd2d,1.000,73.04
Ks 7h 4d,Kd3d,0.900,73.41
Ks 7h 4d,Kd5d,0.880,73.90
Ks 7h 4d,Kd6d,0.935,73.96
Ks 7h 4d,Kd7d,0.860,89.66
Ks 7h 4d,Kd8d,1.000,74.12
Ks 7h 4d,Kd9d,0.990,73.91
Ks 7h 4d,KdTd,0.600,74.57
Ks 7h 4d,KdJd,0.900,76.05
Ks 7h 4d,KdQd,0.830,78.79
Ks 7h 4d,Kd9h,0.320,72.73
Ks 7h 4d,KdTh,1.000,73.45
Ks 7h 4d,KdJh,0.830,74.93
Ks 7h 4d,KdQh,0.760,77.75
Ks 7h 4d,Kd9s,0.320,72.59
Ks 7h 4d,KdTs,1.000,73.31
Ks 7h 4d,KdJs,0.830,74.85
Ks 7h 4d,KdQs,0.760,77.73
Ks 7h 4d,Ad5c,0.430,27.41
Ks 7h 4d,Ad8c,0.465,27.81
Ks 7h 4d,Ad9c,0.980,27.99
Ks 7h 4d,AdTc,0.860,31.72
Ks 7h 4d,AdJc,0.995,36.62
Ks 7h 4d,AdQc,1.000,42.26
Ks 7h 4d,AdKc,0.425,85.64
Ks 7h 4d,Ad2d,0.680,27.82
Ks 7h 4d,Ad3d,0.755,29.08
Ks 7h 4d,Ad5d,0.810,30.93
Ks 7h 4d,Ad6d,1.000,30.50
Ks 7h 4d,Ad7d,0.970,55.71
Ks 7h 4d,Ad8d,0.940,31.38
Ks 7h 4d,Ad9d,0.925,31.60
Ks 7h 4d,AdTd,0.825,35.04
Ks 7h 4d,AdJd,0.745,39.70
Ks 7h 4d,AdQd,0.475,45.09
Ks 7h 4d,Ad5h,0.430,27.50
Ks 7h 4d,Ad8h,0.465,27.90
Ks 7h 4d,Ad9h,0.980,28.15
Ks 7h 4d,AdTh,0.860,31.88
Ks 7h 4d,AdJh,0.995,36.78
Ks 7h 4d,AdQh,1.000,42.42
Ks 7h 4d,AdKh,0.425,85.63
Ks 7h 4d,Ad5s,0.430,27.48
Ks 7h 4d,Ad8s,0.465,27.85
Ks 7h 4d,Ad9s,0.980,28.06
Ks 7h 4d,AdTs,0.860,31.78
Ks 7h 4d,AdJs,0.995,36.73
Ks 7h 4d,AdQs,1.000,42.41
Ks 7h 4d,2h2c,1.000,36.93
Ks 7h 4d,2h2d,1.000,37.01
Ks 7h 4d,3h3c,1.000,38.30
Ks 7h 4d,3h3d,1.000,38.40
Ks 7h 4d,3h2h,1.000,16.81
Ks 7h 4d,4h4c,1.000,92.05
Ks 7h 4d,4h2h,1.000,47.32
Ks 7h 4d,4h3h,1.000,47.82
Ks 7h 4d,5h4c,0.290,46.65
Ks 7h 4d,5h5c,1.000,42.67
Ks 7h 4d,5h5d,1.000,42.79
Ks 7h 4d,5h2h,1.000,18.63
Ks 7h 4d,5h3h,1.000,30.12
Ks 7h 4d,5h4h,0.700,49.23
Ks 7h 4d,5h4s,0.290,46.71
Ks 7h 4d,6h5c,0.495,40.22
Ks 7h 4d,6h6c,1.000,45.40
Ks 7h 4d,6h5d,0.495,40.31
Ks 7h 4d,6h6d,1.000,45.50
Ks 7h 4d,6h3h,1.000,29.24
Ks 7h 4d,6h4h,1.000,49.33
Ks 7h 4d,6h5h,0.475,42.62
Ks 7h 4d,6h5s,0.495,40.29
Ks 7h 4d,8h6c,0.115,28.70
Ks 7h 4d,8h7c,0.605,52.47
Ks 7h 4d,8h8c,1.000,49.29
Ks 7h 4d,8h6d,0.115,28.79
Ks 7h 4d,8h7d,0.605,52.56
Ks 7h 4d,8h8d,1.000,49.41
Ks 7h 4d,8h4h,0.605,48.75
Ks 7h 4d,8h5h,1.000,30.01
Ks 7h 4d,8h6h,1.000,31.69
Ks 7h 4d,8h6s,0.115,28.76
Ks 7h 4d,8h7s,0.605,52.39
Ks 7h 4d,9h7c,0.155,51.87
Ks 7h 4d,9h8c,0.515,16.91
Ks 7h 4d,9h9c,1.000,51.16
Ks 7h 4d,9h7d,0.155,51.97
Ks 7h 4d,9h8d,0.515,16.99
Ks 7h 4d,9h9d,1.000,51.33
Ks 7h 4d,9h2h,0.280,15.48
Ks 7h 4d,9h3h,0.265,16.70
Ks 7h 4d,9h5h,1.000,18.42
Ks 7h 4d,9h6h,1.000,20.10
Ks 7h 4d,9h8h,0.775,20.60
Ks 7h 4d,9h7s,0.155,51.79
Ks 7h 4d,9h8s,0.515,16.94
Ks 7h 4d,Th8c,0.230,17.26
Ks 7h 4d,Th9c,0.845,17.83
Ks 7h 4d,ThTc,0.965,54.72
Ks 7h 4d,Th8d,0.230,17.34
Ks 7h 4d,Th9d,0.845,17.93
Ks 7h 4d,ThTd,0.965,54.89
Ks 7h 4d,Th3h,0.265,16.85
Ks 7h 4d,Th4h,0.415,48.22
Ks 7h 4d,Th5h,0.530,18.54
Ks 7h 4d,Th6h,1.000,20.24
Ks 7h 4d,Th8h,1.000,20.93
Ks 7h 4d,Th9h,0.620,21.61
Ks 7h 4d,Th8s,0.230,17.29
Ks 7h 4d,Th9s,0.845,17.86
Ks 7h 4d,Jh9c,0.190,17.83
Ks 7h 4d,JhTc,1.000,20.10
Ks 7h 4d,JhJc,0.870,59.34
Ks 7h 4d,Jh9d,0.190,17.95
Ks 7h 4d,JhTd,1.000,20.21
Ks 7h 4d,JhJd,0.870,59.51
Ks 7h 4d,Jh2h,0.470,17.33
Ks 7h 4d,Jh3h,0.700,18.52
Ks 7h 4d,Jh4h,1.000,48.22
Ks 7h 4d,Jh5h,1.000,20.23
Ks 7h 4d,Jh6h,1.000,20.57
Ks 7h 4d,Jh8h,0.980,21.03
Ks 7h 4d,Jh9h,0.950,21.66
Ks 7h 4d,JhTh,0.655,23.78
Ks 7h 4d,Jh9s,0.190,17.87
Ks 7h 4d,JhTs,1.000,20.14
Ks 7h 4d,QhTc,1.000,21.48
Ks 7h 4d,QhJc,1.000,23.59
Ks 7h 4d,QhQc,0.345,64.18
Ks 7h 4d,QhTd,1.000,21.62
Ks 7h 4d,QhJd,1.000,23.71
Ks 7h 4d,QhQd,0.345,64.35
Ks 7h 4d,Qh2h,1.000,19.85
Ks 7h 4d,Qh3h,1.000,20.99
Ks 7h 4d,Qh4h,1.000,48.29
Ks 7h 4d,Qh5h,1.000,22.67
Ks 7h 4d,Qh6h,0.925,23.01
Ks 7h 4d,Qh8h,0.880,22.32
Ks 7h 4d,Qh9h,0.875,23.01
Ks 7h 4d,QhTh,0.655,25.17
Ks 7h 4d,QhJh,0.350,27.13
Ks 7h 4d,QhTs,1.000,21.52
Ks 7h 4d,QhJs,1.000,23.67
Ks 7h 4d,Kh9c,0.320,72.36
Ks 7h 4d,KhTc,1.000,73.07
Ks 7h 4d,KhJc,0.830,74.55
Ks 7h 4d,KhQc,0.760,77.36
Ks 7h 4d,Kh9d,0.320,72.55
Ks 7h 4d,KhTd,1.000,73.27
Ks 7h 4d,KhJd,0.830,74.74
Ks 7h 4d,KhQd,0.760,77.55
Ks 7h 4d,Kh2h,1.000,72.83
Ks 7h 4d,Kh3h,0.900,73.20
Ks 7h 4d,Kh4h,0.690,86.94
Ks 7h 4d,Kh5h,0.880,73.68
Ks 7h 4d,Kh6h,0.935,73.77
Ks 7h 4d,Kh8h,1.000,73.97
Ks 7h 4d,Kh9h,0.990,73.74
Ks 7h 4d,KhTh,0.600,74.39
Ks 7h 4d,KhJh,0.900,75.87
Ks 7h 4d,KhQh,0.830,78.59
Ks 7h 4d,Kh9s,0.320,72.40
Ks 7h 4d,KhTs,1.000,73.12
Ks 7h 4d,KhJs,0.830,74.66
Ks 7h 4d,KhQs,0.760,77.52
Ks 7h 4d,Ah5c,0.430,27.34
Ks 7h 4d,Ah8c,0.465,27.80
Ks 7h 4d,Ah9c,0.980,27.99
Ks 7h 4d,AhTc,0.860,31.71
Ks 7h 4d,AhJc,0.995,36.62
Ks 7h 4d,AhQc,1.000,42.25
Ks 7h 4d,AhKc,0.425,85.64
Ks 7h 4d,Ah5d,0.430,27.42
Ks 7h 4d,Ah8d,0.465,27.91
Ks 7h 4d,Ah9d,0.980,28.15
Ks 7h 4d,AhTd,0.860,31.88
Ks 7h 4d,AhJd,0.995,36.77
Ks 7h 4d,AhQd,1.000,42.41
Ks 7h 4d,AhKd,0.425,85.88
Ks 7h 4d,Ah2h,0.680,27.83
Ks 7h 4d,Ah3h,0.755,29.09
Ks 7h 4d,Ah4h,0.835,49.10
Ks 7h 4d,Ah5h,0.810,30.88
Ks 7h 4d,Ah6h,1.000,30.43
Ks 7h 4d,Ah8h,0.940,31.38
Ks 7h 4d,Ah9h,0.925,31.61
Ks 7h 4d,AhTh,0.825,35.05
Ks 7h 4d,AhJh,0.745,39.71
Ks 7h 4d,AhQh,0.475,45.09
Ks 7h 4d,Ah5s,0.430,27.41
Ks 7h 4d,Ah8s,0.465,27.85
Ks 7h 4d,Ah9s,0.980,28.06
Ks 7h 4d,AhTs,0.860,31.78
Ks 7h 4d,AhJs,0.995,36.72
Ks 7h 4d,AhQs,1.000,42.41
Ks 7h 4d,2s2c,1.000,36.91
Ks 7h 4d,2s2d,1.000,36.99
Ks 7h 4d,2s2h,1.000,36.99
Ks 7h 4d,3s3c,1.000,38.28
Ks 7h 4d,3s3d,1.000,38.38
Ks 7h 4d,3s3h,1.000,38.38
Ks 7h 4d,3s2s,1.000,16.96
Ks 7h 4d,4s4c,1.000,92.05
Ks 7h 4d,4s4h,1.000,92.07
Ks 7h 4d,4s2s,1.000,47.42
Ks 7h 4d,4s3s,1.000,47.92
Ks 7h 4d,5s4c,0.290,46.59
Ks 7h 4d,5s5c,1.000,42.61
Ks 7h 4d,5s5d,1.000,42.74
Ks 7h 4d,5s4h,0.290,46.68
Ks 7h 4d,5s5h,1.000,42.71
Ks 7h 4d,5s2s,1.000,18.76
Ks 7h 4d,5s3s,1.000,30.22
Ks 7h 4d,5s4s,0.700,49.28
Ks 7h 4d,6s5c,0.495,40.20
Ks 7h 4d,6s6c,1.000,45.32
Ks 7h 4d,6s5d,0.495,40.29
Ks 7h 4d,6s6d,1.000,45.42
Ks 7h 4d,6s5h,0.495,40.29
Ks 7h 4d,6s6h,1.000,45.39
Ks 7h 4d,6s3s,1.000,29.33
Ks 7h 4d,6s4s,1.000,49.36
Ks 7h 4d,6s5s,0.475,42.65
Ks 7h 4d,7s6c,0.500,51.81
Ks 7h 4d,7s7c,1.000,94.09
Ks 7h 4d,7s6d,0.500,51.92
Ks 7h 4d,7s7d,1.000,94.13
Ks 7h 4d,7s6h,0.500,51.92
Ks 7h 4d,7s3s,0.095,53.83
Ks 7h 4d,7s4s,1.000,82.69
Ks 7h 4d,7s5s,1.000,54.26
Ks 7h 4d,7s6s,0.580,54.22
Ks 7h 4d,8s6c,0.115,28.67
Ks 7h 4d,8s7c,0.605,52.28
Ks 7h 4d,8s8c,1.000,49.06
Ks 7h 4d,8s6d,0.115,28.75
Ks 7h 4d,8s7d,0.605,52.37
Ks 7h 4d,8s8d,1.000,49.18
Ks 7h 4d,8s6h,0.115,28.75
Ks 7h 4d,8s8h,1.000,49.21
Ks 7h 4d,8s4s,0.605,48.73
Ks 7h 4d,8s5s,1.000,30.07
Ks 7h 4d,8s6s,1.000,31.73
Ks 7h 4d,8s7s,0.550,54.61
Ks 7h 4d,9s7c,0.155,51.63
Ks 7h 4d,9s8c,0.515,16.85
Ks 7h 4d,9s9c,1.000,50.90
Ks 7h 4d,9s7d,0.155,51.72
Ks 7h 4d,9s8d,0.515,16.93
Ks 7h 4d,9s9d,1.000,51.06
Ks 7h 4d,9s8h,0.515,16.93
Ks 7h 4d,9s9h,1.000,51.06
Ks 7h 4d,9s2s,0.280,15.57
Ks 7h 4d,9s3s,0.265,16.79
Ks 7h 4d,9s5s,1.000,18.48
Ks 7h 4d,9s6s,1.000,20.14
Ks 7h 4d,9s7s,1.000,54.00
Ks 7h 4d,9s8s,0.775,20.61
Ks 7h 4d,Ts8c,0.230,17.20
Ks 7h 4d,Ts9c,0.845,17.77
Ks 7h 4d,TsTc,0.965,54.44
Ks 7h 4d,Ts8d,0.230,17.29
Ks 7h 4d,Ts9d,0.845,17.87
Ks 7h 4d,TsTd,0.965,54.61
Ks 7h 4d,Ts8h,0.230,17.29
Ks 7h 4d,Ts9h,0.845,17.87
Ks 7h 4d,TsTh,0.965,54.61
Ks 7h 4d,Ts3s,0.265,16.95
Ks 7h 4d,Ts4s,0.415,48.15
Ks 7h 4d,Ts5s,0.530,18.61
Ks 7h 4d,Ts6s,1.000,20.29
Ks 7h 4d,Ts7s,1.000,54.19
Ks 7h 4d,Ts8s,1.000,20.94
Ks 7h 4d,Ts9s,0.620,21.61
Ks 7h 4d,Js9c,0.190,17.81
Ks 7h 4d,JsTc,1.000,20.07
Ks 7h 4d,JsJc,0.870,59.21
Ks 7h 4d,Js9d,0.190,17.92
Ks 7h 4d,JsTd,1.000,20.19
Ks 7h 4d,JsJd,0.870,59.37
Ks 7h 4d,Js9h,0.190,17.92
Ks 7h 4d,JsTh,1.000,20.18
Ks 7h 4d,JsJh,0.870,59.37
Ks 7h 4d,Js2s,0.470,17.46
Ks 7h 4d,Js3s,0.700,18.65
Ks 7h 4d,Js4s,1.000,48.25
Ks 7h 4d,Js5s,1.000,20.33
Ks 7h 4d,Js6s,1.000,20.65
Ks 7h 4d,Js7s,1.000,54.37
Ks 7h 4d,Js8s,0.980,21.08
Ks 7h 4d,Js9s,0.950,21.69
Ks 7h 4d,JsTs,0.655,23.81
Ks 7h 4d,QsTc,1.000,21.49
Ks 7h 4d,QsJc,1.000,23.59
Ks 7h 4d,QsQc,0.345,64.16
Ks 7h 4d,QsTd,1.000,21.62
Ks 7h 4d,QsJd,1.000,23.72
Ks 7h 4d,QsQd,0.345,64.33
Ks 7h 4d,QsTh,1.000,21.62
Ks 7h 4d,QsJh,1.000,23.71
Ks 7h 4d,QsQh,0.345,64.33
Ks 7h 4d,Qs2s,1.000,20.01
Ks 7h 4d,Qs3s,1.000,21.15
Ks 7h 4d,Qs4s,1.000,48.40
Ks 7h 4d,Qs5s,1.000,22.80
Ks 7h 4d,Qs6s,0.925,23.12
Ks 7h 4d,Qs7s,1.000,54.51
Ks 7h 4d,Qs8s,0.880,22.40
Ks 7h 4d,Qs9s,0.875,23.07
Ks 7h 4d,QsTs,0.655,25.23
Ks 7h 4d,QsJs,0.350,27.24
Ks 7h 4d,As5c,0.430,27.44
Ks 7h 4d,As8c,0.465,27.86
Ks 7h 4d,As9c,0.980,28.05
Ks 7h 4d,AsTc,0.860,31.79
Ks 7h 4d,AsJc,0.995,36.72
Ks 7h 4d,AsQc,1.000,42.39
Ks 7h 4d,AsKc,0.425,85.60
Ks 7h 4d,As5d,0.430,27.52
Ks 7h 4d,As8d,0.465,27.97
Ks 7h 4d,As9d,0.980,28.21
Ks 7h 4d,AsTd,0.860,31.95
Ks 7h 4d,AsJd,0.995,36.88
Ks 7h 4d,AsQd,1.000,42.55
Ks 7h 4d,AsKd,0.425,85.84
Ks 7h 4d,As5h,0.430,27.53
Ks 7h 4d,As8h,0.465,27.95
Ks 7h 4d,As9h,0.980,28.21
Ks 7h 4d,AsTh,0.860,31.95
Ks 7h 4d,AsJh,0.995,36.88
Ks 7h 4d,AsQh,1.000,42.55
Ks 7h 4d,AsKh,0.425,85.59
Ks 7h 4d,As2s,0.680,28.01
Ks 7h 4d,As3s,0.755,29.26
Ks 7h 4d,As4s,0.835,49.34
Ks 7h 4d,As5s,0.810,31.04
Ks 7h 4d,As6s,1.000,30.59
Ks 7h 4d,As7s,0.970,55.46
Ks 7h 4d,As8s,0.940,31.47
Ks 7h 4d,As9s,0.925,31.68
Ks 7h 4d,AsTs,0.825,35.13
Ks 7h 4d,AsJs,0.745,39.86
Ks 7h 4d,AsQs,0.475,45.33
Ks 8h 2d,3c2c,1.000,43.79
Ks 8h 2d,4c2c,1.000,43.83
Ks 8h 2d,4c3c,1.000,13.30
Ks 8h 2d,5c2c,1.000,43.99
Ks 8h 2d,5c3c,1.000,13.55
Ks 8h 2d,5c4c,0.700,15.16
Ks 8h 2d,5c4d,0.290,15.22
Ks 8h 2d,5c4h,0.290,15.22
Ks 8h 2d,5c4s,0.290,15.22
Ks 8h 2d,6c3c,1.000,12.61
Ks 8h 2d,6c4c,1.000,14.24
Ks 8h 2d,6c5c,0.475,15.86
Ks 8h 2d,6c5d,0.495,15.91
Ks 8h 2d,6c5h,0.495,15.90
Ks 8h 2d,6c5s,0.495,15.89
Ks 8h 2d,7c3c,0.095,11.58
Ks 8h 2d,7c4c,1.000,13.20
Ks 8h 2d,7c5c,1.000,14.80
Ks 8h 2d,7c6c,0.580,16.62
Ks 8h 2d,7c6d,0.500,16.68
Ks 8h 2d,7c6h,0.500,16.68
Ks 8h 2d,7c6s,0.500,16.65
Ks 8h 2d,8c4c,0.605,53.44
Ks 8h 2d,8c5c,1.000,53.13
Ks 8h 2d,8c6c,1.000,53.08
Ks 8h 2d,8c7c,0.550,53.19
Ks 8h 2d,8c6d,0.115,53.20
Ks 8h 2d,8c7d,0.605,53.31
Ks 8h 2d,8c6h,0.115,53.20
Ks 8h 2d,8c7h,0.605,53.30
Ks 8h 2d,8c6s,0.115,53.07
Ks 8h 2d,8c7s,0.605,53.15
Ks 8h 2d,9c2c,0.280,44.29
Ks 8h 2d,9c3c,0.265,11.84
Ks 8h 2d,9c5c,1.000,13.54
Ks 8h 2d,9c6c,1.000,15.38
Ks 8h 2d,9c7c,1.000,17.03
Ks 8h 2d,9c8c,0.775,54.59
Ks 8h 2d,9c7d,0.155,17.11
Ks 8h 2d,9c8d,0.515,54.70
Ks 8h 2d,9c7h,0.155,17.11
Ks 8h 2d,9c7s,0.155,17.07
Ks 8h 2d,9c8s,0.515,54.45
Ks 8h 2d,Tc3c,0.265,11.63
Ks 8h 2d,Tc4c,0.415,11.74
Ks 8h 2d,Tc5c,0.530,11.85
Ks 8h 2d,Tc6c,1.000,13.68
Ks 8h 2d,Tc7c,1.000,15.48
Ks 8h 2d,Tc8c,1.000,55.02
Ks 8h 2d,Tc9c,0.620,17.56
Ks 8h 2d,Tc8d,0.230,55.14
Ks 8h 2d,Tc9d,0.845,17.49
Ks 8h 2d,Tc9h,0.845,17.48
Ks 8h 2d,Tc8s,0.230,54.89
